,Number of new latrines to build,Number of latrines to maintain,Number of new wells to drill,Number of wells to repair,Availability HWT,HW stations to build,percentage of infants to vaccinate,Access to tmt,percent adults given MDA,percent youth given Albendazole,Mortality,Morbidity,Timeliness,CapEx,OpEx
1037,7305,3781,967,23,2,3419,24,46,62,14,156871.0,7103.10390625,-0.33211272954940796,6347419549696.0,523509497856.0
1038,8049,278,482,10,3,1372,92,10,12,35,146375.8625,4923.838671875,-0.6215246319770813,3919060402176.0,848398057472.0
1039,8887,3631,124,47,4,829,9,25,3,7,195532.975,7347.7453125,-0.267390638589859,2212170563584.0,414273470464.0
1040,7930,3749,12,14,1,865,62,10,7,1,199001.5125,6672.01953125,-0.48623812198638916,1473449558016.0,557688160256.0
1041,407,3771,34,24,2,283,67,12,29,30,202440.25,6878.2015625,-0.4251213073730469,255254380544.0,734208786432.0
1042,2246,3932,20,65,3,233,60,10,15,9,184770.875,6191.41953125,-0.4654952883720398,501883535360.0,691359252480.0
1043,8169,1731,3,16,3,645,91,3,5,37,154527.1,4947.8578125,-0.6196612119674683,1460949221376.0,818695897088.0
1044,8118,604,67,12,1,259,18,30,50,2,205512.025,8038.52890625,-0.2937958836555481,1765669863424.0,385594818560.0
1045,4142,3943,99,704,21,5790,98,92,44,28,58363.7375,4809.10234375,-0.6479385495185852,1439138709504.0,2315515592704.0
1046,343,3936,30,102,1,422,63,3,36,13,250605.55,7981.65703125,-0.386476993560791,228703993856.0,686170308608.0
1047,7266,2892,15,14,2,7618,1,90,26,51,99727.9875,7901.51796875,-0.2298600971698761,1619570065408.0,551038877696.0
1048,1941,3747,3,40,5,287,30,20,36,4,197179.3125,7109.49609375,-0.32957911491394043,363719032832.0,594852839424.0
1049,6367,1946,29,15,3,604,36,93,31,51,79481.66875,6642.93125,-0.376090943813324,1278881300480.0,805560516608.0
1050,6160,3719,36,56,0,1513,68,10,5,70,212539.4,7102.36328125,-0.4942346513271332,1311847088128.0,708891639808.0
1051,7300,1827,11,15,1,7838,28,99,20,38,82420.325,7715.3609375,-0.3394514322280884,1613034422272.0,698807353344.0
1052,7925,2463,69,35,3,531,29,2,24,2,213980.975,6781.96484375,-0.35106632113456726,1752234721280.0,425730899968.0
1053,8175,279,60,15,3,1683,29,20,54,6,187351.75,6769.0984375,-0.34947341680526733,1791699714048.0,486364479488.0
1054,133,3789,3,17,3,289,27,99,3,1,79834.71875,7459.6,-0.25514519214630127,49055363072.0,826466304000.0
